skills/dates,Informatica,SQL,Big Data,Cassandra,AWS,Data Modeling,XML,Scrum,Troubleshooting,Linux
2022-10-01,8,8,7,5,4,9,3,5,3,5
2022-10-02,3,1,2,1,1,8,1,9,3,1
2022-10-03,5,1,4,8,5,3,1,6,9,6
2022-10-04,1,1,9,4,1,3,1,2,4,5
2022-10-05,2,6,1,6,9,7,5,9,7,7
2022-10-06,4,8,4,8,3,8,9,5,5,4
2022-10-07,9,2,3,4,7,8,3,5,7,7
2022-10-08,6,7,8,1,7,8,5,3,7,5
2022-10-09,9,5,8,1,9,3,7,4,2,5
2022-10-10,6,7,7,7,3,9,4,6,9,4
2022-10-11,8,7,9,5,7,3,1,1,4,5
2022-10-12,6,2,9,6,2,2,1,3,4,2
2022-10-13,2,3,9,1,9,4,1,3,6,8
2022-10-14,9,4,3,6,8,1,1,1,1,2
2022-10-15,9,4,5,2,1,4,5,7,8,6
2022-10-16,5,3,9,4,6,2,8,4,3,8
2022-10-17,2,6,6,6,8,4,7,6,8,2
2022-10-18,1,4,8,6,2,8,6,8,3,5
2022-10-19,8,1,3,6,9,2,5,9,6,5
2022-10-20,9,7,7,2,6,2,6,4,2,1
2022-10-21,1,1,9,3,7,3,4,2,5,3
2022-10-22,5,6,7,2,9,5,6,2,1,7
2022-10-23,8,1,1,8,4,8,3,9,8,7
2022-10-24,3,2,1,9,7,1,8,6,7,8
2022-10-25,9,2,2,7,9,4,5,5,7,1
2022-10-26,2,8,1,2,3,4,5,2,3,4
2022-10-27,3,6,2,2,6,3,3,8,9,4
2022-10-28,8,2,6,3,5,7,7,3,7,2
2022-10-29,8,3,3,9,9,8,6,9,7,3
2022-10-30,6,3,7,9,7,6,5,2,9,4
2022-10-31,5,9,3,5,3,1,8,8,4,2
2022-11-01,3,9,6,8,3,2,1,2,1,2
2022-11-02,7,9,5,8,6,7,1,5,4,1
2022-11-03,4,8,2,2,1,7,2,8,5,1
2022-11-04,6,1,7,7,1,7,9,4,3,6
2022-11-05,7,8,4,2,3,5,1,9,7,6
2022-11-06,9,2,1,3,2,1,9,3,6,5
2022-11-07,5,6,3,6,2,9,6,5,9,4
2022-11-08,5,4,5,5,5,4,1,1,3,1
2022-11-09,1,6,9,3,1,5,2,5,3,4
2022-11-10,3,8,8,5,8,9,1,9,5,1
2022-11-11,5,3,9,4,7,1,2,1,1,6
2022-11-12,7,1,5,9,8,7,3,1,4,5
2022-11-13,2,3,4,1,2,2,4,6,5,7
2022-11-14,4,9,2,8,1,9,6,9,4,7
2022-11-15,1,7,5,7,8,6,2,5,6,1
2022-11-16,5,9,2,5,2,9,5,8,8,7
2022-11-17,7,4,8,1,3,6,9,6,4,5
2022-11-18,5,7,2,9,7,4,4,6,1,3
2022-11-19,9,3,4,9,9,8,7,3,3,5
2022-11-20,6,9,6,1,2,1,4,2,9,4
2022-11-21,5,1,9,3,1,1,3,3,6,7
2022-11-22,1,7,6,7,3,8,1,9,7,6
2022-11-23,9,5,5,9,4,9,6,2,8,3
2022-11-24,5,5,8,3,1,7,9,3,4,8
2022-11-25,8,3,7,5,8,7,2,6,5,4
2022-11-26,9,8,9,2,7,9,8,7,9,8
2022-11-27,9,5,8,5,2,1,3,5,2,1
2022-11-28,1,6,3,3,1,9,9,2,5,8
2022-11-29,2,5,3,8,8,2,6,6,8,4
2022-11-30,1,8,3,3,2,5,1,9,4,1
2022-12-01,7,7,9,9,1,4,1,8,7,4
2022-12-02,5,4,4,1,6,8,5,2,2,4
2022-12-03,8,3,9,4,6,8,5,2,7,3
2022-12-04,8,8,9,1,5,4,5,2,9,8
2022-12-05,8,3,4,3,6,4,1,4,1,5
2022-12-06,5,4,6,6,9,8,6,4,7,3
2022-12-07,8,9,6,7,8,4,7,4,1,7
2022-12-08,2,2,6,4,6,5,5,3,8,7
2022-12-09,8,6,8,3,1,2,2,1,2,4
2022-12-10,4,5,9,6,6,3,6,2,8,2
2022-12-11,3,8,5,4,4,5,7,4,4,5
2022-12-12,6,7,2,3,8,3,3,3,8,8
2022-12-13,9,7,4,3,2,6,5,5,9,9
2022-12-14,3,1,9,1,1,5,8,8,7,6
2022-12-15,9,3,5,7,9,6,5,6,9,1
2022-12-16,3,8,2,4,6,9,1,3,9,4
2022-12-17,9,4,5,7,8,7,4,4,2,7
2022-12-18,1,7,4,2,8,8,9,3,6,2
2022-12-19,2,8,4,4,2,5,1,6,5,5
2022-12-20,1,4,6,6,9,4,3,7,7,2
2022-12-21,7,4,2,2,9,1,2,3,9,3
2022-12-22,5,8,2,8,2,5,3,4,3,5
2022-12-23,9,1,8,7,2,1,4,7,7,6
2022-12-24,1,2,2,3,9,2,3,2,5,5
2022-12-25,4,6,5,9,4,3,7,4,5,3
2022-12-26,8,6,7,4,2,2,1,3,7,8
2022-12-27,4,2,5,6,6,6,1,1,3,3
2022-12-28,9,3,5,6,2,3,2,1,9,8
2022-12-29,6,4,6,6,8,2,9,1,9,9
2022-12-30,9,4,8,2,5,5,2,4,4,4
2022-12-31,2,3,5,1,4,4,8,2,1,9
2023-01-01,7,1,1,8,8,6,6,7,6,6
2023-01-02,5,9,4,6,5,3,5,2,1,6
2023-01-03,6,2,1,9,6,8,9,5,1,3
2023-01-04,1,9,5,2,6,4,5,1,2,8
2023-01-05,9,2,4,5,9,4,9,6,1,9
2023-01-06,9,8,4,1,6,7,7,6,2,2
2023-01-07,5,5,1,5,3,3,5,8,3,8
2023-01-08,3,9,5,6,6,6,2,9,2,6
2023-01-09,7,4,5,6,6,5,5,2,8,3
2023-01-10,8,6,1,3,8,8,2,5,4,4
2023-01-11,2,3,8,6,9,4,9,9,3,1
2023-01-12,1,1,4,7,2,5,8,9,1,6
2023-01-13,7,2,5,2,8,3,1,3,9,4
2023-01-14,7,3,3,4,2,3,2,5,5,5
2023-01-15,8,8,7,2,4,6,2,1,4,5
2023-01-16,7,1,1,1,2,1,3,6,5,6
2023-01-17,1,6,5,6,2,1,4,8,9,3
2023-01-18,6,9,9,9,4,2,8,5,2,5
2023-01-19,5,3,6,2,1,1,6,9,1,2
2023-01-20,6,8,8,1,1,1,8,6,6,1
2023-01-21,3,1,5,9,9,8,9,8,9,8
2023-01-22,3,3,3,5,1,1,8,2,7,4
2023-01-23,5,5,6,3,8,1,2,6,1,1
2023-01-24,4,3,3,8,3,8,5,7,1,2
2023-01-25,1,2,6,3,6,9,7,7,6,1
2023-01-26,1,6,4,9,1,9,5,2,6,5
2023-01-27,3,9,2,4,7,2,5,1,6,3
2023-01-28,4,1,1,6,5,8,3,7,1,3
2023-01-29,6,8,1,6,1,3,3,4,6,7
2023-01-30,3,1,7,6,8,3,1,1,4,7
2023-01-31,5,6,1,3,3,5,2,5,1,6
2023-02-01,7,2,5,9,4,6,7,2,5,7
2023-02-02,8,6,1,8,6,9,2,7,5,9
2023-02-03,7,8,2,7,7,3,7,9,8,5
2023-02-04,7,9,2,6,3,5,8,7,3,5
2023-02-05,9,5,6,2,7,6,4,1,2,3
2023-02-06,6,7,5,7,3,4,5,2,5,9
2023-02-07,4,4,8,8,6,7,5,7,2,9
2023-02-08,2,5,5,4,1,5,1,1,2,1
2023-02-09,1,9,7,9,5,7,6,1,1,7
2023-02-10,4,9,4,7,8,7,8,4,8,2
2023-02-11,7,3,7,7,1,1,9,4,2,8
2023-02-12,3,6,4,8,4,5,8,5,5,3
2023-02-13,4,9,8,2,1,6,6,8,3,1
2023-02-14,1,7,9,4,4,5,2,3,5,2
2023-02-15,7,4,1,8,9,8,3,1,7,6
2023-02-16,3,6,4,2,3,9,4,6,9,3
2023-02-17,9,1,3,2,1,7,2,5,3,6
2023-02-18,2,2,7,2,5,3,7,8,9,7
2023-02-19,5,9,6,8,2,6,9,5,9,4
2023-02-20,5,7,9,9,6,5,1,7,5,2
2023-02-21,9,7,5,5,7,8,2,3,4,3
2023-02-22,3,4,8,1,5,7,1,7,6,9
2023-02-23,2,5,1,3,7,8,8,2,1,7
2023-02-24,2,7,7,8,4,5,6,1,6,3
2023-02-25,6,2,8,4,8,5,8,6,9,9
2023-02-26,4,8,4,8,2,6,6,1,3,9
2023-02-27,2,1,7,6,9,1,3,2,7,3
2023-02-28,4,3,1,7,8,1,2,5,4,3
2023-03-01,9,2,9,2,9,8,3,3,3,7
2023-03-02,4,3,7,5,5,2,9,1,8,8
2023-03-03,3,9,3,3,9,9,3,3,8,2
2023-03-04,9,3,7,1,8,2,4,2,8,3
2023-03-05,7,7,4,7,2,3,7,3,6,6
2023-03-06,4,4,4,6,6,6,4,2,7,4
2023-03-07,7,9,5,9,5,6,5,2,5,8
2023-03-08,9,2,6,4,4,7,5,8,1,2
2023-03-09,7,2,1,6,2,2,6,9,1,7
2023-03-10,3,1,6,4,5,3,1,3,7,4
2023-03-11,7,8,9,2,1,6,5,2,7,1
2023-03-12,1,7,8,2,5,7,8,5,5,2
2023-03-13,2,2,1,4,6,2,3,1,4,5
2023-03-14,8,6,5,5,5,2,5,3,5,4
2023-03-15,4,9,6,1,3,3,5,7,2,6
2023-03-16,9,8,3,4,6,7,7,3,5,2
2023-03-17,9,2,6,9,5,7,9,4,7,8
2023-03-18,8,9,6,5,6,1,4,1,2,5
2023-03-19,2,1,3,2,2,9,1,1,7,7
2023-03-20,8,4,2,7,7,1,3,1,9,3
2023-03-21,9,5,1,8,2,8,8,3,9,8
2023-03-22,7,3,6,3,5,3,7,8,5,4
2023-03-23,4,1,9,5,3,1,4,1,8,9
2023-03-24,9,7,6,7,6,3,6,7,7,8
2023-03-25,9,6,8,7,1,7,8,7,2,3
2023-03-26,4,9,6,2,7,4,1,6,7,1
2023-03-27,3,5,7,5,4,1,3,3,6,8
